Assessee,Assessor,score,Item 1,Item 2,Item 3
Jane001 Roe001,Jane022 Roe022,,,,
Jane001 Roe001,Jane003 Roe003,,,,
Jane002 Roe002,Jane005 Roe005,35.0,12.0,5.0,18.0
Jane002 Roe002,Jane001 Roe001,41.0,16.0,8.0,17.0
Jane003 Roe003,Jane022 Roe022,,,,
Jane003 Roe003,Jane016 Roe016,,,,
Jane005 Roe005,Jane012 Roe012,,,,
Jane005 Roe005,Jane020 Roe020,,,,
Jane012 Roe012,Jane025 Roe025,,,,
Jane012 Roe012,Jane024 Roe024,,,,
Jane015 Roe015,Jane003 Roe003,,,,
Jane015 Roe015,Jane020 Roe020,,,,
Jane016 Roe016,Jane015 Roe015,,,,
Jane016 Roe016,Jane024 Roe024,,,,
Jane020 Roe020,Jane005 Roe005,62.0,23.0,15.0,24.0
Jane020 Roe020,Jane021 Roe021,,,,
Jane021 Roe021,Jane015 Roe015,,,,
Jane021 Roe021,Jane002 Roe002,,,,
Jane022 Roe022,Jane012 Roe012,,,,
Jane022 Roe022,Jane016 Roe016,,,,
Jane024 Roe024,Jane001 Roe001,53.0,18.0,12.0,23.0
Jane024 Roe024,Jane025 Roe025,,,,
Jane025 Roe025,Jane021 Roe021,,,,
Jane025 Roe025,Jane002 Roe002,,,,
