Name,SID,Num Assigned Peer Reviews,Num Completed Peer Reviews,Review: 1,Review: 2
Marko Prodanovic (Instructor),,0,0,,
Alison Myers,,0,0,,
Jane001 Roe001,1235067,2,2,,
Jane002 Roe002,1235068,2,0,35.0,41.0
Jane003 Roe003,1235069,2,0,,
Jane004 Roe004,1235070,0,0,,
Jane005 Roe005,1235071,2,2,,
Jane010 Roe010,1235076,0,0,,
Jane011 Roe011,1235077,0,0,,
Jane012 Roe012,1235078,2,0,,
Jane013 Roe013,1235079,0,0,,
Jane014 Roe014,1235080,0,0,,
Jane015 Roe015,1235081,2,0,,
Jane016 Roe016,1235082,2,0,,
Jane017 Roe017,1235083,0,0,,
Jane018 Roe018,1235084,0,0,,
Jane019 Roe019,1235085,0,0,,
Jane020 Roe020,1235086,2,0,62.0,
Jane021 Roe021,1235087,2,0,,
Jane022 Roe022,1235088,2,0,,
Jane023 Roe023,1235089,0,0,,
Jane024 Roe024,1235090,2,0,53.0,
Jane025 Roe025,1235091,2,0,,
